course_id,course_name,description,credit,department
CSE301,인공지능,"탐색 알고리즘, 지식 표현, 확률적 추론, 기계학습의 기초를 배우며 AI 연구자가 문제를 모델링하고 실험을 설계하는 데 필요한 핵심 개념을 다룬다.",3,컴퓨터공학과
CSE402,딥러닝,"신경망, 합성곱 신경망, 순환 신경망, Transformer 구조와 표현학습을 구현한다. 논문 기반 실습을 통해 AI 연구와 모델 성능 분석 역량을 기른다.",3,컴퓨터공학과
CSE421,자연어처리,"토큰화, 임베딩, 문서 분류, 정보검색, 언어모델, RAG 파이프라인을 다루며 텍스트 데이터를 활용한 AI 서비스와 연구 방법을 학습한다.",3,컴퓨터공학과
CSE411,컴퓨터비전,"이미지 분류, 객체 탐지, 특징 추출, 딥러닝 기반 시각 인식 모델을 다룬다. AI 연구자와 제품 개발자가 시각 데이터를 분석하는 데 필요한 실습을 포함한다.",3,컴퓨터공학과
STA310,확률과 통계,"확률분포, 추정, 가설검정, 회귀의 기초를 배우며 데이터 분석가, AI 연구자, 퀀트 직무에 필요한 통계적 사고와 불확실성 해석 능력을 기른다.",3,통계학과
DS201,데이터 분석 입문,"Python, pandas, 데이터 정제, 탐색적 데이터 분석, 시각화, 리포팅을 실습한다. 데이터 분석가가 비즈니스 질문을 데이터 문제로 바꾸는 방법을 배운다.",3,데이터사이언스학부
DS302,머신러닝,"지도학습, 비지도학습, 모델 평가, 교차검증, feature engineering을 다룬다. 데이터 분석가와 AI 연구자가 예측 모델을 만들고 성능을 해석하는 수업이다.",3,데이터사이언스학부
DS330,데이터 시각화,"시각 인코딩, 대시보드 설계, matplotlib, seaborn, plotly를 활용해 분석 결과를 명확하게 전달한다. UX 디자이너와 데이터 분석가에게 유용하다.",3,데이터사이언스학부
DS410,빅데이터 처리,"대용량 로그 데이터, Spark, 분산 처리, 데이터 파이프라인, 배치 처리 개념을 학습한다. 데이터 분석가와 백엔드 개발자가 확장 가능한 분석 시스템을 이해한다.",3,데이터사이언스학부
BIZ305,비즈니스 애널리틱스,"고객 데이터, 매출 데이터, KPI, 실험 분석, 의사결정 모델을 활용해 비즈니스 문제를 해결한다. 데이터 분석가와 핀테크 직무에 필요한 해석 역량을 다룬다.",3,경영학과
CSE220,자료구조,"배열, 리스트, 스택, 큐, 트리, 그래프, 해시 테이블을 구현하고 시간복잡도를 분석한다. 소프트웨어 개발자와 백엔드 개발자의 기본 역량을 만든다.",3,컴퓨터공학과
CSE310,알고리즘,"정렬, 탐색, 그래프 알고리즘, 동적 계획법, 복잡도 분석을 학습한다. 백엔드 개발자, AI 연구자, 퀀트가 효율적인 문제 해결 전략을 익히는 데 적합하다.",3,컴퓨터공학과
CSE331,데이터베이스,"관계형 데이터베이스, SQL, 정규화, 트랜잭션, 인덱스, 쿼리 최적화를 다룬다. 백엔드 개발자와 데이터 분석가에게 필수적인 데이터 저장 기술을 배운다.",3,컴퓨터공학과
CSE350,소프트웨어공학,"요구사항 분석, 설계 패턴, 테스트, 형상관리, 협업 개발 프로세스를 다룬다. 소프트웨어 개발자가 안정적인 서비스를 만드는 실무 방식을 학습한다.",3,컴퓨터공학과
CSE430,웹 백엔드 개발,"REST API, 인증, 서버 아키텍처, ORM, 캐싱, 배포를 실습한다. 백엔드 및 소프트웨어 개발자가 실제 웹 서비스를 구현하는 데 필요한 내용을 포함한다.",3,컴퓨터공학과
FIN301,금융공학,"파생상품, 옵션 가격결정, 포트폴리오 이론, 위험 관리 모델을 배운다. 금융권, 핀테크, 퀀트 직무에서 수리적 금융 모델을 이해하는 데 중요하다.",3,금융학과
FIN330,핀테크 서비스 기획,"전자결제, 오픈뱅킹, 금융 API, 보안, 사용자 인증, 규제 환경을 다룬다. 핀테크 서비스와 금융권 디지털 전환을 이해하는 수업이다.",3,금융학과
FIN410,퀀트 투자 전략,"팩터 모델, 백테스팅, 시계열 데이터, 포트폴리오 최적화, 리스크 지표를 Python으로 실습한다. 퀀트와 금융 데이터 분석 직무에 직접 연결된다.",3,금융학과
ECO320,계량경제학,"회귀분석, 인과추론, 패널 데이터, 시계열 분석을 통해 경제 및 금융 데이터를 해석한다. 데이터 분석가와 금융권 리서치 직무에 적합하다.",3,경제학과
CSE440,클라우드 컴퓨팅,"컨테이너, 마이크로서비스, 클라우드 배포, 서버리스, 모니터링을 다룬다. 백엔드 개발자와 핀테크 서비스 개발자가 확장 가능한 시스템을 설계하는 데 필요하다.",3,컴퓨터공학과
DES210,UX 디자인 기초,"사용자 조사, 페르소나, 여정지도, 정보구조, 인터랙션 설계를 학습한다. UX 디자이너가 사용자의 문제를 정의하고 해결안을 설계하는 기본 수업이다.",3,디자인학부
DES310,사용자 리서치,"인터뷰, 설문, 사용성 테스트, 정성 데이터 분석, 리서치 리포트 작성을 실습한다. UX 디자이너와 프로덕트 팀이 근거 기반 의사결정을 하는 데 필요하다.",3,디자인학부
DES330,인터랙션 디자인,"모바일 앱, 웹 서비스, 프로토타이핑, 마이크로인터랙션, 접근성을 다룬다. UX 디자이너가 사용 흐름과 화면 전환을 설계하는 역량을 기른다.",3,디자인학부
DES410,서비스 디자인,"서비스 블루프린트, 고객 경험, 터치포인트, 운영 프로세스를 분석한다. UX 디자이너가 복잡한 서비스 경험을 구조화하는 데 유용하다.",3,디자인학부
HCI401,HCI와 사용성 평가,"인간-컴퓨터 상호작용, 인지 부하, 실험 설계, 사용성 평가, 접근성 원칙을 배운다. UX 디자이너와 AI 서비스 기획자에게 중요한 평가 방법을 제공한다.",3,융합전공
